_id,count
September 2007,3
November 2009,6
September 2005,1
November 2003,1
February 2008,2
August 2010,2
November 2012,13
February 2012,6
July 2009,2
November 2006,2
April 2010,5
October 2012,10
December 2008,2
April 2005,1
June 2008,2
August 2007,2
March 2008,1
May 2007,2
December 2007,4
August 2008,1
January 2006,2
May 2011,15
August 2011,13
June 2009,4
January 2009,3
September 2006,2
August 2004,1
October 2009,4
November 2011,13
October 2007,5
September 2010,4
October 2011,19
February 2009,4
September 2008,4
December 2010,6
October 2008,4
May 2009,6
December 2009,3
April 2012,21
March 2010,3
,3
July 2011,11
April 2008,2
December 2011,20
June 2007,1
September 2011,14
January 2007,3
August 2012,19
October 2010,5
July 2008,2
May 2012,15
May 2008,7
August 2009,3
April 2011,8
September 2009,1
November 2010,10
February 2011,5
June 2011,13
December 2006,2
August 2005,1
November 2008,2
July 2010,6
March 2012,13
January 2010,2
June 2010,6
May 2006,2
June 2012,19
October 2006,5
July 2012,9
December 2012,7
April 2009,6
March 2009,1
July 2005,2
June 2005,1
January 2012,4
February 2010,4
January 2011,3
May 2010,6
September 2012,7
March 2011,5
